lecture_id,r_id,degree
128,50,0.3082857459
128,290,0.295685139
128,419,0.2608464391
128,420,0.2600964434
128,634,0.2600964434
128,273,0.2386817995
128,118,0.2344819062
129,217,0.5632734707
129,207,0.4700153441
129,752,0.4700153441
129,119,0.1621073291
129,203,0.1355755562
129,500,0.1355755562
129,650,0.131882008
129,385,0.1244964851
129,635,0.1244964851
130,562,0.199956276
130,105,0.1920665957
130,523,0.1920665957
130,666,0.1920665957
130,34,0.1631086204
130,362,0.1631086204
130,428,0.1631086204
130,19,0.1490491453
130,211,0.1465131964
131,15,0.9981173128
131,108,0.9981173128
131,258,0.9981173128
131,624,0.9981173128
131,711,0.9981173128
131,33,0.9261998649
131,57,0.9261998649
131,560,0.800349371
131,26,0.6962188543
132,46,0.4056265339
132,722,0.4056265339
132,406,0.3599406721
132,506,0.3599406721
132,119,0.2115272995
132,418,0.1898135816
132,680,0.1879066694
132,276,0.1826334506
132,1,0.1764342141
133,712,0.5169562036
133,193,0.2172855675
133,501,0.1904119649
133,412,0.1663264285
133,426,0.1636584107
133,366,0.1607130739
133,110,0.1308493968
133,432,0.1308493968
133,135,0.1291017617
134,116,0.2345324589
134,496,0.2084183152
134,50,0.1654913587
134,528,0.1616381321
134,279,0.1572057691
134,12,0.1552085101
134,343,0.149338522
134,586,0.144541419
134,395,0.1400040827
135,499,0.5273380473
135,384,0.194980935
135,2,0.181805276
135,254,0.1782451092
135,409,0.1773297357
135,386,0.1619296504
135,412,0.1503559851
135,712,0.1476881287
135,221,0.1450684991
136,323,0.988796621
136,730,0.325408441
136,99,0.3051089557
136,299,0.2974640282
136,354,0.2668548156
136,198,0.2361918592
136,583,0.2187192577
136,69,0.1864076253
136,552,0.1864076253
137,158,0.3348803956
137,71,0.2570287172
137,29,0.2192971535
137,194,0.2192971535
137,409,0.1867470114
137,350,0.1821927124
137,90,0.1688116435
137,88,0.1636679057
137,397,0.1587502151
138,484,0.3061324709
138,339,0.2068395547
138,732,0.179913921
138,733,0.1690104449
138,725,0.16418279
138,22,0.1608856755
138,655,0.1596002773
138,559,0.1516891822
138,706,0.1513246943
139,104,0.703759403
139,604,0.6115097269
139,716,0.3985133714
139,509,0.1860845551
139,743,0.185418058
139,419,0.177269012
139,611,0.151553034
139,212,0.1481403811
139,272,0.1407135873
140,159,0.2916153371
140,454,0.2819869592
140,366,0.2810233833
140,37,0.2463476189
